,Top queries,Clicks,Impressions,CTR,Position
0,collocutor,28248,1344720,0.021006603605211494,1
1,distancer,28068,163086,0.17210551488171885,3
2,constricting,27612,145767,0.18942559015415011,2
3,gum-cistus,27552,373587,0.07374988958395233,4
4,decamp,27495,119022,0.23100771285980742,1
5,interposure,26748,359007,0.07450551103460379,12
6,swizz,26718,1191576,0.02242240528510141,3
7,faceting,26574,193110,0.1376106882087929,11
8,supplier,26577,378021,0.07030561794186037,2
9,accusement,26382,350004,0.0753762814139267,20
10,landforms,25929,1062003,0.024415185267838226,1
11,shearing,25875,130956,0.19758544854760376,19
12,cryptofascist,25881,587670,0.04404002246158558,7
13,extrane,25833,588210,0.04391798847350436,5
14,tremulousness,25767,423903,0.060785132447753375,12
15,wellness,25350,94788,0.26743891631852135,8
16,hand-list,25293,1142322,0.022141742871099393,2
17,advancement,25059,123003,0.20372673837223482,1
18,double-play,25035,1666185,0.015025342323931616,1
19,unmaterialized,25035,100422,0.24929796259783712,4
20,chiroptera,24936,1234449,0.020200105472158024,2
21,arcadelike,24915,401118,0.0621138916727746,13
22,buildress,24918,282375,0.08824435590969455,10
23,taivers,24891,389307,0.06393668749855512,5
24,umeshu,24759,77136,0.32097853142501553,4
25,nonblack,24321,392208,0.062010463835515846,18
26,Judaization,24243,1244370,0.019482147592757782,7
27,unenlightened,24213,170550,0.14197009674582234,9
28,yapped,24192,91350,0.26482758620689656,15
29,hieroglyphist,24081,1254927,0.01918916399121224,18
30,stilt,24024,3738015,0.006426940501843893,5
31,include,23964,302361,0.07925625328663419,17
32,endotheliomata,23649,240744,0.09823297776891636,6
33,sorceresses,23631,472071,0.0500581480328171,5
34,acranial,23604,205482,0.11487137559494262,9
35,forgotten,23361,1430121,0.01633498144562593,12
36,loups-garous,23337,1413831,0.016506216089476042,6
37,deconvolute,23295,5349345,0.00435473875773576,18
38,three-up,23265,16638027,0.0013983028155922575,20
39,hatchetman,23238,469293,0.04951703946148781,3
40,wealthier,23235,157251,0.14775740694812753,9
41,cysts,23190,1104018,0.021005092308277584,1
42,Nicaragua,23151,306372,0.07556499941247895,5
43,chargeable,23094,2346678,0.009841145653557924,15
44,swobber,22638,1077720,0.021005455962587686,1
45,divine,22557,440448,0.0512137641673932,3
46,Kefauver,22539,1141236,0.01974963986414729,4
47,dark-gray,22407,929352,0.02411034785527981,5
48,unbleached,22332,588024,0.03797804171258316,19
49,juicy,22317,1518549,0.014696265974953722,1
50,Yambol,22281,438456,0.050816957687886584,1
51,orientalise,22275,461412,0.04827572754934852,1
52,Reinhardt's,21921,926922,0.023649239094551647,9
53,smegger,21675,595878,0.036374895532306946,3
54,Maury,21615,2451018,0.0088187846845678,19
55,langoustines,21537,489336,0.04401270292804944,14
56,subverticillate,21459,973341,0.022046744152357703,9
57,bulblet,21270,1658688,0.01282338812362542,10
58,copyeditors,21246,5172021,0.0041078719517960195,12
59,kitting,21141,277347,0.07622581098767969,6
60,staid,21060,208200,0.10115273775216138,16
61,bacterially,20940,853293,0.024540222408949798,11
62,vulcanism,20721,634080,0.03267884178652536,18
63,flesh,20625,1437012,0.014352698516087548,12
64,remunerates,20643,1714671,0.012039044224810475,14
65,unaided,20580,2476506,0.008310094948286013,19
66,forebodings,20031,197292,0.10152971230460434,14
67,hit-and-run,19644,358692,0.05476564852296678,8
68,subbasements,19602,756009,0.02592826275877668,18
69,privateerism,19581,944358,0.020734721366261522,7
70,autoregulate,19572,497118,0.039370934063944575,15
71,decimalises,19557,191478,0.10213706013223452,9
72,unsown,19461,1104342,0.017622258322150204,11
73,purblind,19368,344025,0.05629823413996076,11
74,palimpsest,19254,363444,0.05297652458150361,5
75,porcellaneous,19128,138735,0.1378743647961942,5
76,dim-bulb,18957,139104,0.13627933057280883,14
77,dexter,18777,787119,0.023855350969802534,4
78,jetstreams,18354,633852,0.028956286325514474,1
79,thickspread,18240,485835,0.03754361048504122,11
80,decomposes,18069,1775340,0.010177768765419582,9
81,Burgenland,18030,1161021,0.01552943486810316,12
82,twelvemos,17961,458754,0.039151702219490186,16
83,run-ons,17931,120195,0.14918257831024584,11
84,weare,17874,113685,0.1572239081673044,11
85,oxisol,17817,940692,0.018940312025615184,4
86,foresightedness,17652,608733,0.028997935055270537,12
87,refortified,17451,374733,0.04656915723995485,15
88,clairvoyance,17241,100008,0.17239620830333574,8
89,bulimic,17094,411024,0.04158881233212659,4
90,chrismation,16668,1187100,0.014040940106141016,13
91,blue-stone,16662,514008,0.03241583788579166,9
92,shaken,16665,951627,0.01751211346462427,20
93,Boontling,16614,165015,0.10068175620398145,15
94,eliminator,16557,847659,0.019532618659154212,2
95,photocatalytic,16461,88911,0.18514019637615142,9
96,parrot,16461,1280676,0.012853368064990676,9
97,tightwads,16392,581643,0.028182235494968563,7
98,clumps,16383,239145,0.06850655460076523,4
99,debunks,16365,676005,0.02420840082543768,17
100,carvol,16137,981009,0.01644939037256539,16
101,San Polo,16107,654930,0.024593468004214192,10
102,cinemas,15981,477117,0.03349492891680657,15
103,triangulary,15852,873165,0.018154644311212657,3
104,defiled,15771,238602,0.06609751804259813,15
105,vulgarized,15765,647016,0.024365703475648207,3
106,passing,15726,483591,0.03251921561815667,3
107,high-risk,15717,378741,0.04149801579443472,9
108,bastinade,15711,135873,0.11563003687266786,5
109,bifocaled,15690,767094,0.020453816611784213,2
110,hydrogen,15561,546675,0.028464809987652627,14
111,firestone,15543,709221,0.02191559471589251,20
112,gauntleted,15492,385821,0.04015333535499623,16
113,vented,15441,151008,0.10225286077558805,18
